open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume,return
58.13,57.44,58.99,56.81,16384.0,94238840.0,2022,8,25,15,0,2022-08-25 15:00,16384.0,0.011869946671254168
57.73,57.5,58.45,57.16,11741.0,67942056.0,2022,8,26,15,0,2022-08-26 15:00,11741.0,0.0039840637450198665
57.3,58.7,58.87,57.1,12664.0,73556272.0,2022,8,29,15,0,2022-08-29 15:00,12664.0,-0.02443280977312401
58.8,58.27,59.2,57.76,8676.0,50636088.0,2022,8,30,15,0,2022-08-30 15:00,8676.0,0.00901360544217677
58.0,59.09,59.66,57.55,17281.0,101508032.0,2022,8,31,15,0,2022-08-31 15:00,17281.0,-0.018793103448275922
67.0,67.32,70.91,66.5,120235.0,829259776.0,2022,9,1,15,0,2022-09-01 15:00,120235.0,-0.004776119402984973
67.47,80.78,80.78,67.47,165612.0,1291388800.0,2022,9,2,15,0,2022-09-02 15:00,165612.0,-0.19727286201274644
82.79,77.35,83.85,75.8,168456.0,1346785152.0,2022,9,5,15,0,2022-09-05 15:00,168456.0,0.06570841889117057
76.0,74.2,77.13,73.06,94136.0,702660800.0,2022,9,6,15,0,2022-09-06 15:00,94136.0,0.023684210526315752
74.85,79.68,81.23,74.85,117183.0,927598592.0,2022,9,7,15,0,2022-09-07 15:00,117183.0,-0.06452905811623263
79.68,74.86,79.88,74.6,77004.0,588034112.0,2022,9,8,15,0,2022-09-08 15:00,77004.0,0.06049196787148603
74.28,72.0,74.78,71.6,55692.0,403597184.0,2022,9,9,15,0,2022-09-09 15:00,55692.0,0.03069466882067853
69.29,67.97,70.7,67.56,58441.0,402313120.0,2022,9,13,15,0,2022-09-13 15:00,58441.0,0.01905036801847319
67.68,70.5,70.96,67.3,64513.0,447402304.0,2022,9,14,15,0,2022-09-14 15:00,64513.0,-0.04166666666666656
70.45,67.35,70.45,66.86,44340.0,302576576.0,2022,9,15,15,0,2022-09-15 15:00,44340.0,0.044002838892831915
67.0,69.24,72.88,66.99,56372.0,394419840.0,2022,9,16,15,0,2022-09-16 15:00,56372.0,-0.03343283582089544
69.14,68.78,72.34,68.4,51394.0,362815680.0,2022,9,19,15,0,2022-09-19 15:00,51394.0,0.0052068267283771974
69.02,67.56,70.67,67.0,43944.0,301307808.0,2022,9,20,15,0,2022-09-20 15:00,43944.0,0.021153288901767514
67.01,66.0,67.5,64.8,37526.0,248772496.0,2022,9,21,15,0,2022-09-21 15:00,37526.0,0.015072377257125878
65.51,66.35,67.49,65.51,24260.0,161708800.0,2022,9,22,15,0,2022-09-22 15:00,24260.0,-0.012822469851930836
66.38,63.06,67.1,62.88,40223.0,258289184.0,2022,9,23,15,0,2022-09-23 15:00,40223.0,0.050015064778547655
62.01,63.31,64.33,61.82,27207.0,172753216.0,2022,9,26,15,0,2022-09-26 15:00,27207.0,-0.020964360587002167
