open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
86.71,85.17,88.99,84.3,75003.0,645085696.0,2023,2,27,15,0,2023-02-27 15:00,75003.0
85.25,83.97,87.44,81.91,73005.0,613239552.0,2023,2,28,15,0,2023-02-28 15:00,73005.0
83.59,90.6,92.55,83.1,129394.0,1146262528.0,2023,3,1,15,0,2023-03-01 15:00,129394.0
89.5,91.5,92.68,89.02,89249.0,813795648.0,2023,3,2,15,0,2023-03-02 15:00,89249.0
95.99,93.71,99.5,92.26,100637.0,957779008.0,2023,3,3,15,0,2023-03-03 15:00,100637.0
92.12,91.23,94.45,90.2,65694.0,605177856.0,2023,3,6,15,0,2023-03-06 15:00,65694.0
91.0,87.88,91.88,86.94,69797.0,622561664.0,2023,3,7,15,0,2023-03-07 15:00,69797.0
89.87,90.01,91.68,87.88,62690.0,563063488.0,2023,3,8,15,0,2023-03-08 15:00,62690.0
90.1,90.6,93.58,89.6,46825.0,427590528.0,2023,3,9,15,0,2023-03-09 15:00,46825.0
90.46,91.98,95.8,89.6,82598.0,767040064.0,2023,3,10,15,0,2023-03-10 15:00,82598.0
90.38,95.78,96.69,90.15,71422.0,676551616.0,2023,3,13,15,0,2023-03-13 15:00,71422.0
95.85,102.89,105.0,95.3,127768.0,1285581696.0,2023,3,14,15,0,2023-03-14 15:00,127768.0
102.0,103.98,106.19,101.95,93685.0,972971136.0,2023,3,15,15,0,2023-03-15 15:00,93685.0
104.98,102.44,106.08,99.59,107594.0,1113186560.0,2023,3,16,15,0,2023-03-16 15:00,107594.0
102.65,122.93,122.93,102.0,222534.0,2596614400.0,2023,3,17,15,0,2023-03-17 15:00,222534.0
124.0,135.0,137.69,122.15,199944.0,2617703424.0,2023,3,20,15,0,2023-03-20 15:00,199944.0
133.25,136.8,137.5,130.48,123418.0,1659830784.0,2023,3,21,15,0,2023-03-21 15:00,123418.0
134.96,160.15,164.16,133.0,203749.0,3053655808.0,2023,3,22,15,0,2023-03-22 15:00,203749.0
162.62,167.0,178.88,159.85,202709.0,3379541504.0,2023,3,23,15,0,2023-03-23 15:00,202709.0
167.01,183.0,185.18,163.01,198893.0,3414847744.0,2023,3,24,15,0,2023-03-24 15:00,198893.0
178.0,186.39,188.88,172.0,190971.0,3444353280.0,2023,3,27,15,0,2023-03-27 15:00,190971.0
179.94,172.0,180.5,170.3,156094.0,2740150272.0,2023,3,28,15,0,2023-03-28 15:00,156094.0
174.46,172.0,184.65,168.8,216748.0,3804719616.0,2023,3,29,15,0,2023-03-29 15:00,216748.0
172.64,176.1,181.6,170.0,206710.0,3616571904.0,2023,3,30,15,0,2023-03-30 15:00,206710.0
170.81,185.95,191.76,165.23,202982.0,3597394176.0,2023,3,31,15,0,2023-03-31 15:00,202982.0
188.88,211.0,217.0,184.0,211965.0,4155954176.0,2023,4,3,15,0,2023-04-03 15:00,211965.0
206.0,215.51,226.53,202.3,164941.0,3522533376.0,2023,4,4,15,0,2023-04-04 15:00,164941.0
212.0,208.0,230.98,203.03,156628.0,3419824128.0,2023,4,6,15,0,2023-04-06 15:00,156628.0
209.45,225.5,225.62,207.0,127969.0,2781244416.0,2023,4,7,15,0,2023-04-07 15:00,127969.0
225.5,207.59,225.51,200.01,185013.0,3901645824.0,2023,4,10,15,0,2023-04-10 15:00,185013.0
205.67,201.5,213.6,187.51,184134.0,3699557376.0,2023,4,11,15,0,2023-04-11 15:00,184134.0
193.0,206.0,213.68,192.0,152078.0,3095007488.0,2023,4,12,15,0,2023-04-12 15:00,152078.0
201.02,188.0,207.55,185.9,171340.0,3324682752.0,2023,4,13,15,0,2023-04-13 15:00,171340.0
190.01,195.0,197.71,183.89,138347.0,2669359616.0,2023,4,14,15,0,2023-04-14 15:00,138347.0
191.39,196.8,199.19,187.0,124863.0,2421080064.0,2023,4,17,15,0,2023-04-17 15:00,124863.0
194.0,195.78,201.33,185.55,126960.0,2463428608.0,2023,4,18,15,0,2023-04-18 15:00,126960.0
204.5,221.8,223.28,204.5,215733.0,4651853312.0,2023,4,19,15,0,2023-04-19 15:00,215733.0
230.06,266.16,266.16,230.06,199642.0,4944562176.0,2023,4,20,15,0,2023-04-20 15:00,199642.0
271.4,248.0,271.47,243.0,189460.0,4796532736.0,2023,4,21,15,0,2023-04-21 15:00,189460.0
246.0,243.0,248.0,228.88,163471.0,3903562496.0,2023,4,24,15,0,2023-04-24 15:00,163471.0
242.0,248.0,264.88,237.16,174116.0,4366926848.0,2023,4,25,15,0,2023-04-25 15:00,174116.0
250.0,238.0,255.8,225.8,144464.0,3455224832.0,2023,4,26,15,0,2023-04-26 15:00,144464.0
235.01,230.75,246.0,217.78,138135.0,3175623168.0,2023,4,27,15,0,2023-04-27 15:00,138135.0
228.1,249.5,252.5,225.8,146085.0,3537412608.0,2023,4,28,15,0,2023-04-28 15:00,146085.0
244.5,232.8,245.48,224.04,117485.0,2751240448.0,2023,5,4,15,0,2023-05-04 15:00,117485.0
228.88,207.98,240.5,200.73,196300.0,4256183552.0,2023,5,5,15,0,2023-05-05 15:00,196300.0
203.0,208.39,215.01,199.0,108366.0,2259884032.0,2023,5,8,15,0,2023-05-08 15:00,108366.0
